Nom;Libellé;gest
crm-root-meeting-sharedm-calendar;Calendrier partagé;
crm-root-meeting-team-calendar;Calendrier de mon équipe;
crm-root-opportunity;Opportunités;
crm-root-report;Rapports;
crm-root-task;Tâches;
crm-root-ticket;Tickets;
debt-recovery-root-conf;Configuration;
debt-recovery-root-conf-reminder-level;Niveaux de relance;
debt-recovery-root-conf-reminder-method;Méthodes de relance;
debt-recovery-root-reminders;Historique des relances;
fnath-administration-board;Conseil d'administration;x
fnath-administration-function;Fonction d'administration;x
fnath-membership-end-reason;Conseil d'administration;x
fnath-number-file;Dossier;x
fnath-partner-adherent;Adhérents;x
fnath-partner-certified-association;Associations agréées;x
fnath-partner-company;Personnes morales;x
fnath-partner-company-all;Tous;x
fnath-partner-groupment;Groupements;x
fnath-partner-local-section;Sections locales;x
fnath-partner-personality;Personnalités;x
fnath-partner-physical;Personnes physiques;x
fnath-partner-physical-all;Tous;x
fnath-social-insurance;Mutuelle;x
fnath-social-insurance-contract;Contrat mutuelle;x
fnath-social-insurance-option;Option mutuelle;x
fnath-social-protection-company;Conseil d'administration;x
fnath-volunteering;Bénévolat;x
fnath-volunteering-action;Action bénévole;x
invoice-root;Facturation;
invoice-root-cust-invoice;Nouv. Facture Client;
invoice-root-purchase;Achats;
invoice-root-purchase-supinvoices;Factures fournisseurs;
invoice-root-purchase-suprefunds;Avoirs fournisseurs;
invoice-root-report;Rapports;
invoice-root-sale;Ventes;
invoice-root-sale-custinvoices;Factures clients;
invoice-root-sale-custinvoices-lines;Lignes de facture client;
invoice-root-sale-custrefunds;Avoirs des clients;
invoice-root-sale-mergecustinvoices;Fusionner Factures clients;
invoice-root-sup-invoice;Nouv. Facture Fourn.;
mail-conf;Configuration;
mail-conf-pdf-templates;Modèles PDF;
mail-conf-template;Modèle;
mail-conf-template-rules;Template Rules;
mail-message;Messages;
mail-root;Messenger;
mail-root-email-box;Boîte de réception;
mail-root-email-conf-email-address;Adresses email;
mail-root-email-conf-mail-account;Comptes SMTP;
mail-root-email-conf-routing;Gamme;
mail-root-email-draft;Brouillons;
mail-root-email-inbox;Boîte de réception;
mail-root-email-new;Nouvel email;
mail-root-email-new-message;Créer message;
mail-root-email-sent;Emails Envoyés;
mail-root-email-trash;Corbeille;
mail-root-mail-new;Nouveau courrier;
menu-account-invoice-advanced;Avancé;
menu-account-invoice-dashboard-sample;Général;
menu-account-purchase-invoice-advanced;Factures d'achat;
menu-account-purchase-invoice-dashboard-1;Factures d'achat;
menu-account-sale-invoice-advanced;Factures de vente;
menu-account-sale-invoice-dashboard-1;Factures de vente;
menu-accounting-dashboard-1;Comptabilité;
menu-admin;Administration;
menu-admin;Administration;
menu-auth;Gestion des utilisateurs;
menu-auth-groups;Groupes;
menu-auth-permission-assistant;Assistant gestion des permissions;
